,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4628,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1031, ,R4,299 WEST 12TH STREET,3H,10014,1,0,1, -  , -  ,1930,2,R4,880000,2016-09-27 00:00:00
4629,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1048, ,R4,299 WEST 12TH STREET,5C,10014,1,0,1, -  , -  ,1930,2,R4,1850000,2016-11-23 00:00:00
4630,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1056, ,R4,299 WEST 12TH   STREET,5L,10014,1,0,1, -  , -  ,1930,2,R4,880786,2017-04-04 00:00:00
4631,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1066, ,R4,299 WEST 12TH STREET,6K,10014,1,0,1, -  , -  ,1930,2,R4, -  ,2017-03-20 00:00:00
4632,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1069, ,R4,299 WEST 12TH   STREET,7B,10014,1,0,1, -  , -  ,1930,2,R4,1150000,2017-04-27 00:00:00
4633,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1069, ,R4,299 WEST 12TH STREET,7B,10014,1,0,1, -  , -  ,1930,2,R4,827739,2016-10-06 00:00:00
4634,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1070, ,R4,299 WEST 12TH   STREET,7C,10014,1,0,1, -  , -  ,1930,2,R4, -  ,2017-05-09 00:00:00
4635,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1080, ,R4,299 WEST 12TH   STREET,8B,10014,1,0,1, -  , -  ,1930,2,R4, -  ,2016-10-11 00:00:00
4636,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1135, ,R4,299 WEST 12TH ST,14B,10014,1,0,1, -  , -  ,1930,2,R4,1300000,2017-06-21 00:00:00
4637,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1139, ,R4,299 WEST 12TH STREET,14F,10014,1,0,1, -  , -  ,1930,2,R4,2650000,2016-09-19 00:00:00
4638,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1149, ,R4,299 WEST 12TH   STREET,15E,10014,1,0,1, -  , -  ,1930,2,R4, -  ,2017-06-19 00:00:00
4639,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1160, ,R4,299 WEST 12TH STREET,16E,10014,1,0,1, -  , -  ,1930,2,R4,2900000,2017-05-17 00:00:00
4640,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,625,1165, ,R4,299 WEST 12TH STREET,16K,10014,1,0,1, -  , -  ,1930,2,R4, -  ,2016-11-09 00:00:00
4641,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1021, ,R4,321 WEST 13TH STREET,7C,10014,1,0,1, -  , -  ,1907,2,R4, -  ,2017-04-03 00:00:00
4642,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1117, ,R4,350 WEST 14TH   STREET,4B,10014,1,0,1, -  , -  ,0,2,R4,845000,2016-11-18 00:00:00
4643,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1149, ,R4,350 WEST 14 STREET,PHF,10014,1,0,1, -  , -  ,0,2,R4,1600000,2017-03-20 00:00:00
4644,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1219, ,R4,345 WEST 13TH   STREET,2H,10014,1,0,1, -  , -  ,0,2,R4,4295000,2016-12-20 00:00:00
4645,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1223, ,R4,345 WEST 13TH   STREET,3D,10014,1,0,1, -  , -  ,0,2,R4, -  ,2016-09-19 00:00:00
4646,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1237, ,R4,345 WEST 13TH STREET,5C,10014,1,0,1, -  , -  ,0,2,R4,4728000,2017-01-31 00:00:00
4647,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1237, ,R4,345 WEST 13TH   STREET,5C,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-31 00:00:00
4648,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1237, ,R4,345 WEST 13TH   STREET,5C,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-27 00:00:00
4649,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1304, ,R4,300 WEST 14TH STREET,202,10014,1,0,1, -  , -  ,0,2,R4,4850000,2016-09-01 00:00:00
4650,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,629,1306, ,R4,300 WEST 14TH STREET,204,10014,1,0,1, -  , -  ,0,2,R4, -  ,2016-09-01 00:00:00
4651,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1111, ,R4,140 CHARLES STREET,4E,10014,1,0,1, -  , -  ,0,2,R4, -  ,2016-09-16 00:00:00
4652,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1123, ,R4,677 WASHINGTON STREET,7E,10014,1,0,1, -  , -  ,0,2,R4,1575000,2017-03-06 00:00:00
4653,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1134, ,R4,140 CHARLES STREET,10D,10014,1,0,1, -  , -  ,0,2,R4, -  ,2016-12-16 00:00:00
4654,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1145, ,R4,677 WASHINGTON STREET,14A,10014,1,0,1, -  , -  ,0,2,R4,1650000,2016-12-27 00:00:00
4655,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1146, ,R4,140 CHARLES STREET,14B,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-05 00:00:00
4656,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1147, ,R4,140 CHARLES STREET,14C,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-05 00:00:00
4657,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1148, ,R4,140 CHARLES STREET,14D,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-05 00:00:00
4658,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1150, ,R4,140 CHARLES STREET,15A,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-05 00:00:00
4659,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1150, ,R4,677 WASHINGTON STREET,15A,10014,1,0,1, -  , -  ,0,2,R4,3200000,2016-09-16 00:00:00
4660,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1151, ,R4,140 CHARLES STREET,15B,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-05 00:00:00
4661,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1152, ,R4,140 CHARLES STREET,15C,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-05 00:00:00
4662,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1154, ,R4,140 CHARLES STREET,15E,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-05 00:00:00
4663,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1154, ,R4,677 WASHINGTON STREET,15E,10014,1,0,1, -  , -  ,0,2,R4, -  ,2016-09-16 00:00:00
4664,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1158, ,R4,140 CHARLES STREET,16D,10014,1,0,1, -  , -  ,0,2,R4,1775000,2016-10-19 00:00:00
4665,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1202, ,R4,275 WEST 10TH   STREET,1F,10014,1,0,1, -  , -  ,1895,2,R4,10354275,2017-01-31 00:00:00
4666,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1210, ,R4,275 WEST 10TH   STREET,2G,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4667,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1211, ,R4,275 WEST 10TH   STREET,2F,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4668,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1212, ,R4,275 WEST 10TH   STREET,3A,10014,1,0,1, -  , -  ,1895,2,R4,6975012,2017-06-21 00:00:00
4669,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1215, ,R4,275 WEST 10TH   STREET,3K,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4670,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1218, ,R4,275 WEST 10TH STREET,4C,10014,1,0,1, -  , -  ,1895,2,R4,10650000,2017-07-07 00:00:00
4671,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1219, ,R4,275 WEST 10TH   STREET,5A,10014,1,0,1, -  , -  ,1895,2,R4,7100000,2017-07-27 00:00:00
4672,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1221, ,R4,275 WEST 10TH STREET,5C,10014,1,0,1, -  , -  ,1895,2,R4,9200000,2017-06-19 00:00:00
4673,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1222, ,R4,275 WEST 10TH   STREET,5K,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4674,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1223, ,R4,275 WEST 10TH STREET,6A,10014,1,0,1, -  , -  ,1895,2,R4,7150000,2017-02-22 00:00:00
4675,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1224, ,R4,275 WEST 10TH   STREET,6B,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4676,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1225, ,R4,275 WEST 10TH STREET,6C,10014,1,0,1, -  , -  ,1895,2,R4,5850000,2017-02-28 00:00:00
4677,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1227, ,R4,275 WEST 10TH   STREET,7A,10014,1,0,1, -  , -  ,1895,2,R4,7350000,2017-08-17 00:00:00
4678,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1228, ,R4,275 WEST 10TH   STREET,7B,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4679,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1229, ,R4,275 WEST 10TH   STREET,7C,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4680,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1230, ,R4,275 WEST 10TH STREET,7D,10014,1,0,1, -  , -  ,1895,2,R4,4963968,2017-03-07 00:00:00
4681,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1231, ,R4,275 WEST 10TH   STREET,7E,10014,1,0,1, -  , -  ,1895,2,R4,9300000,2017-04-07 00:00:00
4682,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1232, ,R4,275 WEST 10TH STREET,8A,10014,1,0,1, -  , -  ,1895,2,R4,4950000,2017-03-08 00:00:00
4683,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1233, ,R4,275 WEST 10TH STREET,8B,10014,1,0,1, -  , -  ,1895,2,R4,6975012,2017-02-22 00:00:00
4684,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1234, ,R4,275 WEST 10TH STREET,8C,10014,1,0,1, -  , -  ,1895,2,R4,5187983,2017-02-28 00:00:00
4685,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1236, ,R4,275 WEST 10TH   STREET,8F,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4686,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1237, ,R4,275 WEST 10TH   STREET,8H,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4687,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1239, ,R4,275 WEST 10TH STREET,9A,10014,1,0,1, -  , -  ,1895,2,R4,4836687,2017-02-28 00:00:00
4688,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1240, ,R4,275 WEST 10TH STREET,9B,10014,1,0,1, -  , -  ,1895,2,R4,9724287,2017-02-23 00:00:00
4689,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1241, ,R4,275 WEST 10TH STREET,9C,10014,1,0,1, -  , -  ,1895,2,R4,12450000,2017-04-13 00:00:00
4690,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1242, ,R4,275 WEST 10TH   STREET,9F,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4691,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1243, ,R4,275 WEST 10TH   STREET,10A,10014,1,0,1, -  , -  ,1895,2,R4,12795000,2017-04-07 00:00:00
4692,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1244, ,R4,275 WEST 10TH STREET,10B,10014,1,0,1, -  , -  ,1895,2,R4,12225937,2017-02-27 00:00:00
4693,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1245, ,R4,275 WEST 10TH STREET,10C,10014,1,0,1, -  , -  ,1895,2,R4,6771362,2017-02-28 00:00:00
4694,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1246, ,R4,275 WEST 10TH   STREET,11A,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4695,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1247, ,R4,275 WEST 10TH STREET,11B,10014,1,0,1, -  , -  ,1895,2,R4,9650000,2017-02-13 00:00:00
4696,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1250, ,R4,275 WEST 10TH   STREET,11K,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4697,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,631,1251, ,R4,275 WEST 10TH   STREET,11N,10014,1,0,1, -  , -  ,1895,2,R4, -  ,2017-01-31 00:00:00
4698,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1108, ,R4,3 WEEHAWKEN STREET,4B,10014,1,0,1, -  , -  ,1900,2,R4, -  ,2017-03-17 00:00:00
4699,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1108, ,R4,3 WEEHAWKEN STREET,4B,10014,1,0,1, -  , -  ,1900,2,R4,430950,2016-10-21 00:00:00
4700,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1111, ,R4,5 WEEHAWKEN STREET,1A,10014,1,0,1, -  , -  ,1900,2,R4,560037,2016-12-15 00:00:00
4701,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1208, ,R4,150 CHARLES STREET,M7,10014,1,0,1, -  , -  ,1938,2,R4,12092000,2016-09-07 00:00:00
4702,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1209, ,R4,150 CHARLES STREET,M8,10014,1,0,1, -  , -  ,1938,2,R4,8400000,2017-01-31 00:00:00
4703,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1210, ,R4,150 CHARLES STREET,M9,10014,1,0,1, -  , -  ,1938,2,R4,9400000,2017-07-06 00:00:00
4704,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1218, ,R4,150 CHARLES STREET,2CN,10014,1,0,1, -  , -  ,1938,2,R4,865768,2016-12-07 00:00:00
4705,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1222, ,R4,150 CHARLES STREET,2ES,10014,1,0,1, -  , -  ,1938,2,R4,1257538,2016-12-07 00:00:00
4706,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1238, ,R4,150 CHARLES STREET,3HS,10014,1,0,1, -  , -  ,1938,2,R4,6150000,2017-06-21 00:00:00
4707,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1243, ,R4,150 CHARLES STREET,4CN,10014,1,0,1, -  , -  ,1938,2,R4,6722995,2016-12-07 00:00:00
4708,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1250, ,R4,150 CHARLES STREET,4FS,10014,1,0,1, -  , -  ,1938,2,R4, -  ,2016-10-28 00:00:00
4709,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1253, ,R4,150 CHARLES STREET,5BN,10014,1,0,1, -  , -  ,1938,2,R4,5949125,2016-12-07 00:00:00
4710,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1257, ,R4,150 CHARLES STREET,6AN,10014,1,0,1, -  , -  ,1938,2,R4,6300000,2017-06-07 00:00:00
4711,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1264, ,R4,150 CHARLES STREET,6DS,10014,1,0,1, -  , -  ,1938,2,R4,5727656,2016-12-07 00:00:00
4712,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1286, ,R4,150 CHARLES STREET,12B,10014,1,0,1, -  , -  ,1938,2,R4,10589800,2016-12-07 00:00:00
4713,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,636,1292, ,R4,150 CHARLES STREET,PHB,10014,1,0,1, -  , -  ,1938,2,R4,24183437,2016-12-07 00:00:00
4714,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1029, ,R4,155 PERRY STREET,8A,10014,1,0,1, -  , -  ,1910,2,R4,4100000,2016-11-01 00:00:00
4715,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1114, ,R4,366 WEST 11TH STREET,3B,10014,1,0,1, -  , -  ,1987,2,R4, -  ,2016-10-18 00:00:00
4716,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1115, ,R4,366 WEST 11TH   STREET,3C,10014,1,0,1, -  , -  ,1987,2,R4,1100000,2017-08-16 00:00:00
4717,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1126, ,R4,366 WEST 11TH STREET,4G,10014,1,0,1, -  , -  ,1987,2,R4,995000,2017-05-19 00:00:00
4718,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1128, ,R4,366 WEST 11TH   STREET,5B,10014,1,0,1, -  , -  ,1987,2,R4,2500000,2016-09-30 00:00:00
4719,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1129, ,R4,366 WEST 11TH   STREET,5C,10014,1,0,1, -  , -  ,1987,2,R4, -  ,2016-09-30 00:00:00
4720,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1142, ,R4,366 WEST 11TH   STREET,7B,10014,1,0,1, -  , -  ,1987,2,R4,1425000,2016-11-09 00:00:00
4721,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1164, ,R4,366 WEST 11TH   STREET,10C,10014,1,0,1, -  , -  ,1987,2,R4,1495000,2017-06-20 00:00:00
4722,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1319, ,R4,173 PERRY STREET,8N,10014,1,0,1, -  , -  ,0,2,R4,6100000,2016-10-04 00:00:00
4723,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1477, ,R4,165 CHARLES STREET,RU13,10014,1,0,1, -  , -  ,2004,2,R4,8600000,2016-12-29 00:00:00
4724,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,637,1478, ,R4,165 CHARLES STREET,RU14,10014,1,0,1, -  , -  ,2004,2,R4,7350000,2017-05-04 00:00:00
4725,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,638,1024, ,R4,164 BANK STREET,11B,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-04-12 00:00:00
4726,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,640,1037, ,R4,400 WEST 12TH STREET,10A,10014,1,0,1, -  , -  ,2007,2,R4,4500000,2017-01-04 00:00:00
4727,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,640,1039, ,R4,400 WEST 12,10C,10014,1,0,1, -  , -  ,2007,2,R4, -  ,2016-12-02 00:00:00
4728,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,641,1003, ,R4,88 JANE STREET,C,10014,1,0,1, -  , -  ,1910,2,R4,2700000,2017-03-14 00:00:00
4729,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,641,1008, ,R4,88 JANE STREET,2W,10014,1,0,1, -  , -  ,1910,2,R4,1400000,2017-03-02 00:00:00
4730,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,642,1114, ,R4,99 JANE,2E,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-06-29 00:00:00
4731,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,642,1141, ,R4,99 JANE STREET,4K,10014,1,0,1, -  , -  ,0,2,R4, -  ,2017-01-03 00:00:00
4732,1,GREENWICH VILLAGE-WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,642,1159, ,R4,99 JANE STREET,6F,10014,1,0,1, -  , -  ,0,2,R4, -  ,2016-12-23 00:00:00
4733,1,GREENWICH VILLAGE-WEST,14 RENTALS - 4-10 UNIT                     ,2A,589,4, ,S3,243 BLEECKER STREET, ,10014,3,1,4,1886,4914,1920,2,S3, -  ,2016-09-19 00:00:00
4734,1,GREENWICH VILLAGE-WEST,14 RENTALS - 4-10 UNIT                     ,2A,610,21, ,S5,184 WAVERLY PLACE, ,10014,5,1,6,1995,5985,1900,2,S5,14000000,2016-09-26 00:00:00
4735,1,GREENWICH VILLAGE-WEST,14 RENTALS - 4-10 UNIT                     ,2A,636,40, ,S3,185 CHRISTOPHER STREET, ,10014,3,1,4,1675,4077,1900,2,S3, -  ,2017-02-16 00:00:00
4736,1,GREENWICH VILLAGE-WEST,14 RENTALS - 4-10 UNIT                     ,2A,636,40, ,S3,185 CHRISTOPHER STREET, ,10014,3,1,4,1675,4077,1900,2,S3, -  ,2016-09-28 00:00:00
4737,1,GREENWICH VILLAGE-WEST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,587,1106, ,R1,13 MORTON STREET,APT4,10014,1,0,1, -  , -  ,0,2,R1,1280000,2016-09-12 00:00:00
4738,1,GREENWICH VILLAGE-WEST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,588,1101, ,R1,84 BEDFORD STREET,1N,10014,1,0,1, -  , -  ,1900,2,R1,3150000,2017-01-18 00:00:00
4739,1,GREENWICH VILLAGE-WEST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,588,1106, ,R1,84 BEDFORD STREET,1S,10014,1,0,1, -  , -  ,1900,2,R1,1325000,2017-05-19 00:00:00
4740,1,GREENWICH VILLAGE-WEST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,624,1401, ,R1,607 HUDSON STREET,1,10014,1,0,1, -  , -  ,1906,2,R1, -  ,2017-01-20 00:00:00
4741,1,GREENWICH VILLAGE-WEST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,624,1408, ,R1,607 HUDSON STREET,9,10014,1,0,1, -  , -  ,1906,2,R1, -  ,2017-01-24 00:00:00
4742,1,GREENWICH VILLAGE-WEST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,629,1502, ,R1,325 WEST 13TH STREET,2,10014,1,0,1, -  , -  ,0,2,R1,1925000,2016-09-28 00:00:00
4743,1,GREENWICH VILLAGE-WEST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,641,1104, ,R1,495 WEST STREET,4,10014,1,0,1, -  , -  ,0,2,R1, -  ,2016-10-27 00:00:00
4744,1,GREENWICH VILLAGE-WEST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,642,1004, ,R1,111 JANE STREET,D,10014,1,0,1, -  , -  ,1900,2,R1, -  ,2017-03-09 00:00:00
4745,1,GREENWICH VILLAGE-WEST,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,642,1005, ,R1,111 JANE STREET,E,10014,1,0,1, -  , -  ,1900,2,R1,3145000,2017-06-05 00:00:00
4746,1,GREENWICH VILLAGE-WEST,16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C,586,1007, ,R8,1 LEROY STREET,1A,10014,0,1,1, -  , -  ,0,2,R8,20605000,2017-01-31 00:00:00
